"control_issn","control_doi","control_comparison_doi","control_title","control_publisher","control_journal","control_volume","control_issue","control_type","control_date","IF","control_is_oa","control_oa_journal","control_oa_evidence","control_oa_host_type","control_score","control_tweets","control_facebook","control_feeds","control_mendeley"
"2375-2548","10.1126/sciadv.aap9302","10.1126/sciadv.1701854","Mapping metabolic changes by noninvasive, multiparametric, high-resolution imaging using endogenous contrast","American Association for the Advancement of Science (AAAS)","science advances","4","3","journal-article","2018-03-08","11.511",TRUE,TRUE,"open (via page says license)","publisher",94.83,11,0,1,"46"
"1079-5006","10.1093/gerona/glx197","10.1093/gerona/glx193","Impact of Age-Related Mitochondrial Dysfunction and Exercise on Intestinal Microbiota Composition","Oxford University Press (OUP)","the journals of gerontology: series a","73","5","journal-article","2017-10-16","4.902",TRUE,FALSE,"open (via page says Open Access)","publisher",15.53,15,0,1,"27"
"1749-5016","10.1093/scan/nsy009","10.1093/scan/nsy011","Sleep quality and adolescent default mode network connectivity","Oxford University Press (OUP)","social cognitive and affective neuroscience","13","3","journal-article","2018-02-07","3.5",TRUE,FALSE,"open (via page says Open Access)","publisher",3.85,8,0,0,"12"
"0305-1048","10.1093/nar/gkx868","10.1093/nar/gkx973","ChannelsDB: database of biomacromolecular tunnels and pores","Oxford University Press (OUP)","nucleic acids research","46","D1","journal-article","2017-09-28","11.561",TRUE,TRUE,"oa journal (via doaj)","publisher",3.5,4,1,0,"14"
"1065-9471","10.1002/hbm.23906","10.1002/hbm.23917","Four-way multimodal fusion of 7 T imaging data using an mCCA+jICA model in first-episode schizophrenia","Wiley","human brain mapping","39","4","journal-article","2018-01-10","4.927",FALSE,FALSE,NA,NA,1.5,3,0,0,"14"
"2090-3057","10.1155/2017/7349268","10.1155/2017/4067108","Epstein-Barr Virus as a Promising Immunotherapeutic Target for Nasopharyngeal Carcinoma Treatment","Hindawi Limited","journal of pathogens","2017",NA,"journal-article","2017-12-31",NA,TRUE,TRUE,"open (via page says license)","publisher",0,0,0,0,"0"
"1756-8935","10.1186/s13072-017-0170-0","10.1186/s13072-017-0167-8","Uncoordinated expression of DNA methylation-related enzymes in human cancer","Springer Nature","epigenetics & chromatin","10","1","journal-article","2017-12-12","5.351",TRUE,TRUE,"open (via page says license)","publisher",1.25,3,0,0,"13"
"0896-6273","10.1016/j.neuron.2017.11.032","10.1016/j.neuron.2017.12.005","Activation of the STING-Dependent Type I Interferon Response Reduces Microglial Reactivity and Neuroinflammation","Elsevier BV","neuron","96","6","journal-article","2017-12-20","14.319",FALSE,FALSE,NA,NA,6.75,13,1,0,"71"
"0027-8424","10.1073/pnas.1717362115","10.1073/pnas.1715766115","Flexibility of thought in high creative individuals represented by percolation analysis","Proceedings of the National Academy of Sciences","proceedings of the national academy of sciences","115","5","journal-article","2018-01-16","9.504",FALSE,FALSE,NA,NA,21.02,19,0,1,"48"
"1053-8119","10.1016/j.neuroimage.2017.10.052","10.1016/j.neuroimage.2017.10.037","Brain microstructure by multi-modal MRI: Is the whole greater than the sum of its parts?","Elsevier BV","neuroimage","182",NA,"journal-article","2017-11-04","5.426",TRUE,FALSE,"open (via crossref license)","publisher",14.25,26,0,0,"44"
"1065-9471","10.1002/hbm.24070","10.1002/hbm.24035","An fMRI study of finger tapping in children and adults","Wiley","human brain mapping","39","8","journal-article","2018-04-03","4.927",FALSE,FALSE,NA,NA,3.45,5,0,0,"9"
"2050-084X","10.7554/elife.29388","10.7554/elife.29144","CHIP as a membrane-shuttling proteostasis sensor","eLife Sciences Publications, Ltd","elife","6",NA,"journal-article","2017-11-01","7.616",TRUE,TRUE,"open (via page says license)","publisher",1,1,0,0,"24"
"1553-7358","10.1371/journal.pcbi.1005903","10.1371/journal.pcbi.1005870","Physiological models of the lateral superior olive","Public Library of Science (PLoS)","plos computational biology","13","12","journal-article","2017-12-27","3.955",TRUE,TRUE,"open (via page says license)","publisher",1.25,5,0,0,"15"
"0028-0836","10.1038/d41586-018-02259-9","10.1038/nature26136","‘Brains in a dish’ show how wrinkles form","Springer Nature","nature","555","7694","journal-article","2018-02-27","41.577",FALSE,FALSE,NA,NA,110.55,182,7,0,"0"
"1473-0197","10.1039/c7lc00914c","10.1039/c7lc00507e","Wearable sensors: modalities, challenges, and prospects","Royal Society of Chemistry (RSC)","lab on a chip","18","2","journal-article","2017-11-28","5.995",TRUE,FALSE,"open (via page says Open Access)","publisher",21.45,12,1,0,"122"
"1367-4803","10.1093/bioinformatics/btx762","10.1093/bioinformatics/btx825","ASElux: an ultra-fast and accurate allelic reads counter","Oxford University Press (OUP)","bioinformatics","34","8","journal-article","2017-11-22","5.481",FALSE,FALSE,NA,NA,4.1,10,0,0,"14"
"2045-2322","10.1038/s41598-018-20236-0","10.1038/s41598-018-20051-7","Effects of diversity in olfactory environment on children’s sense of smell","Springer Nature","scientific reports","8","1","journal-article","2018-02-07","4.122",TRUE,TRUE,"open (via page says license)","publisher",5.2,9,0,0,"13"
"2045-2322","10.1038/s41598-017-17518-4","10.1038/s41598-018-19323-z","Investigation of piwi-interacting RNA pathway genes role in idiopathic non-obstructive azoospermia","Springer Nature","scientific reports","8","1","journal-article","2018-01-03","4.122",TRUE,TRUE,"open (via page says license)","publisher",0,0,0,0,"0"
"1367-4803","10.1093/bioinformatics/btx721","10.1093/bioinformatics/btx664","PERF: an exhaustive algorithm for ultra-fast and efficient identification of microsatellites from large DNA sequences","Oxford University Press (OUP)","bioinformatics","34","6","journal-article","2017-11-06","5.481",FALSE,FALSE,NA,NA,1,4,0,0,"9"
"1478-3975","10.1088/1478-3975/aaa64c","10.1088/1478-3975/aaa277","Bidirectional transport model of morphogen gradient formation via cytonemes","IOP Publishing","physical biology","15","2","journal-article","2018-01-09","1.621",TRUE,FALSE,"open (via crossref license, author manuscript)","publisher",0.5,2,0,0,"9"
"0012-1606","10.1016/j.ydbio.2018.01.009","10.1016/j.ydbio.2018.02.005","The DSL ligand APX-1 is required for normal ovulation in C. elegans","Elsevier BV","developmental biology","435","2","journal-article","2018-01-31","3.262",FALSE,FALSE,NA,NA,2,5,0,0,"7"
"0027-8424","10.1073/pnas.1718188115","10.1073/pnas.1714712114","An inclusive Research Education Community (iREC): Impact of the SEA-PHAGES program on research outcomes and student learning","Proceedings of the National Academy of Sciences","proceedings of the national academy of sciences","114","51","journal-article","2017-12-05","9.504",TRUE,FALSE,"open (via page says license)","publisher",66.65,37,0,2,"30"
"2405-8440","10.1016/j.heliyon.2017.e00407","10.1016/j.heliyon.2017.e00424","Lambda phage-based vaccine induces antitumor immunity in hepatocellular carcinoma","Elsevier BV","heliyon","3","9","journal-article","2017-09-26",NA,TRUE,TRUE,"oa journal (via doaj)","publisher",2.35,5,0,0,"6"
"2379-5042","10.1128/msphere.00330-17","10.1128/msphere.00456-17","Comparative Profiling of Ubiquitin Proteasome System Interplay with Influenza A Virus PB2 Polymerase Protein Recapitulating Virus Evolution in Humans","American Society for Microbiology","msphere","2","6","journal-article","2017-11-23","3.575",TRUE,TRUE,"oa journal (via doaj)","publisher",1.75,5,0,0,"9"
"1759-6653","10.1093/gbe/evx254","10.1093/gbe/evx278","Genomic Loss and Silencing on the Y Chromosomes of Rumex","Oxford University Press (OUP)","genome biology and evolution","9","12","journal-article","2017-12-01","3.94",TRUE,TRUE,"open (via page says Open Access)","publisher",11.35,24,0,0,"13"
"0198-8859","10.1016/j.humimm.2017.11.008","10.1016/j.humimm.2017.12.004","Preclinical and clinical studies for transplant tolerance via the mixed chimerism approach","Elsevier BV","human immunology","79","5","journal-article","2017-11-23","1.994",FALSE,FALSE,NA,NA,11,0,0,0,"0"
"1554-8929","10.1021/acschembio.7b00969","10.1021/acschembio.7b00923","Translation Termination Factor GSPT1 Is a Phenotypically Relevant Off-Target of Heterobifunctional Phthalimide Degraders","American Chemical Society (ACS)","acs chemical biology","13","3","journal-article","2018-01-22","4.592",FALSE,FALSE,NA,NA,11.1,23,0,0,"42"
"1464-6722","10.1111/mpp.12633","10.1111/mpp.12623","The mitochondrial membrane protein FgLetm1 regulates mitochondrial integrity, production of endogenous reactive oxygen species and mycotoxin biosynthesis in Fusarium graminearum
                    ","Wiley","molecular plant pathology","19","7","journal-article","2017-10-27","4.188",FALSE,FALSE,NA,NA,3.85,8,0,0,"9"
"1061-4036","10.1038/s41588-018-0094-z","10.1038/s41588-018-0089-9","Switching from fetal to adult hemoglobin","Springer Nature","nature genetics","50","4","journal-article","2018-03-29","27.125",FALSE,FALSE,NA,NA,8.4,16,0,0,"10"
"1553-7404","10.1371/journal.pgen.1007398","10.1371/journal.pgen.1007327","Distinct domains of Escherichia coli IgaA connect envelope stress sensing and down-regulation of the Rcs phosphorelay across subcellular compartments","Public Library of Science (PLoS)","plos genetics","14","5","journal-article","2018-05-31","5.54",TRUE,TRUE,"open (via page says license)","publisher",6.35,11,0,0,"11"
"1053-8119","10.1016/j.neuroimage.2018.05.022","10.1016/j.neuroimage.2018.04.053","Feasibility of imaging evoked activity throughout the rat brain using electrical impedance tomography","Elsevier BV","neuroimage","178",NA,"journal-article","2018-05-10","5.426",TRUE,FALSE,"oa repository (via OAI-PMH title and first author match)","repository",0.5,2,0,0,"8"
"1674-5507","10.1093/cz/zox064","10.1093/cz/zox069","Exposure to cuticular bacteria can alter host behavior in a funnel-weaving spider","Oxford University Press (OUP)","current zoology",NA,NA,"journal-article","2017-11-16","2.393",TRUE,TRUE,"oa journal (via doaj)","publisher",0,0,0,0,"0"
"1471-2180","10.1186/s12866-018-1163-2","10.1186/s12866-018-1155-2","Detection of CTX-M-15 harboring Escherichia coli isolated from wild birds in Tunisia","Springer Nature","bmc microbiology","18","1","journal-article","2018-04-04","2.829",TRUE,TRUE,"open (via page says license)","publisher",1.25,4,0,0,"7"
"2373-2822","10.1523/eneuro.0025-18.2018","10.1523/eneuro.0330-18.2018","Inhibition of a Descending Prefrontal Circuit Prevents Ketamine-Induced Stress Resilience in Females","Society for Neuroscience","eneuro","5","1","journal-article","2018-03-08",NA,TRUE,FALSE,"open (via page says license)","publisher",16.63,16,0,1,"27"
"1471-2105","10.1186/s12859-018-2089-2","10.1186/s12859-018-2124-3","ToxPi Graphical User Interface 2.0: Dynamic exploration, visualization, and sharing of integrated data models","Springer Nature","bmc bioinformatics","19","1","journal-article","2018-03-05","2.213",TRUE,TRUE,"open (via page says license)","publisher",2.1,6,0,0,"6"
"1548-7091","10.1038/nmeth.4659","10.1038/nmeth.4666","The Author File: Shai Shen-Orr","Springer Nature","nature methods","15","4","journal-article","2018-04-03","26.919",FALSE,FALSE,NA,NA,9.4,13,0,0,"1"
"1553-7358","10.1371/journal.pcbi.1006073","10.1371/journal.pcbi.1006088","Personalizing physical exercise in a computational model of fuel homeostasis","Public Library of Science (PLoS)","plos computational biology","14","4","journal-article","2018-04-26","3.955",TRUE,TRUE,"open (via page says license)","publisher",34,9,0,0,"28"
"2041-1723","10.1038/s41467-018-04273-x","10.1038/s41467-018-03731-w","AID/APOBEC-like cytidine deaminases are ancient innate immune mediators in invertebrates","Springer Nature","nature communications","9","1","journal-article","2018-05-10","12.353",TRUE,TRUE,"oa journal (via doaj)","publisher",10.45,19,0,0,"15"
"0303-6812","10.1007/s00285-018-1234-x","10.1007/s00285-018-1241-y","Asymptotic analysis of a TMDD model: when a reaction contributes to the destruction of its product","Springer Nature America, Inc","journal of mathematical biology","77","3","journal-article","2018-04-19","1.786",FALSE,FALSE,NA,NA,0,0,0,0,"0"
"1662-453X","10.3389/fnins.2018.00324","10.3389/fnins.2018.00235","A Novel Method to Image Macropinocytosis in Vivo","Frontiers Media SA","frontiers in neuroscience","12",NA,"journal-article","2018-05-15","3.877",TRUE,TRUE,"open (via page says license)","publisher",0.75,3,0,0,"1"
"2045-2322","10.1038/s41598-018-23946-7","10.1038/s41598-018-23718-3","Prognostic value of cancer antigen -125 for lung adenocarcinoma patients with brain metastasis: A random survival forest prognostic model","Springer Nature","scientific reports","8","1","journal-article","2018-03-29","4.122",TRUE,TRUE,"open (via page says license)","publisher",0,0,0,0,"0"
"1059-1524","10.1091/mboc.19.8.zmk3613","10.1091/mbc.e17-11-0688","Correction for Kortholt et al., Phospholipase C Regulation of Phosphatidylinositol 3,4,5-trisphosphate-mediated Chemotaxis","American Society for Cell Biology (ASCB)","molecular biology of the cell","19","8","journal-article","2018-05-02","3.512",FALSE,FALSE,NA,NA,0,0,0,0,"0"
"0393-2990","10.1007/s10654-018-0385-9","10.1007/s10654-018-0390-z","Epidemiology in wonderland: Big Data and precision medicine","Springer Nature","european journal of epidemiology","33","3","journal-article","2018-04-05","7.023",FALSE,FALSE,NA,NA,6.3,11,0,0,"16"
"1553-7358","10.1371/journal.pcbi.1006039","10.1371/journal.pcbi.1006091","Eleven quick tips for running an interdisciplinary short course for new graduate students","Public Library of Science (PLoS)","plos computational biology","14","3","journal-article","2018-03-29","3.955",TRUE,TRUE,"open (via free pdf)","publisher",32.83,41,0,1,"24"
"0048-5772","10.1111/psyp.13080","10.1111/psyp.13079","Hand distance modulates the electrophysiological correlates of target selection during a tactile search task","Wiley","psychophysiology","55","8","journal-article","2018-03-30","3.118",FALSE,FALSE,NA,NA,0,0,0,0,"0"
"1367-4803","10.1093/bioinformatics/bty161","10.1093/bioinformatics/bty093","SCRAM: a pipeline for fast index-free small RNA read alignment and visualization","Oxford University Press (OUP)","bioinformatics","34","15","journal-article","2018-03-15","5.481",TRUE,FALSE,"open (via free pdf)","publisher",5.35,8,0,0,"4"
"2211-1247","10.1016/j.celrep.2018.03.099","10.1016/j.celrep.2018.03.059","KAP1 Regulates Regulatory T Cell Function and Proliferation in Both Foxp3-Dependent and -Independent Manners","Elsevier BV","cell reports","23","3","journal-article","2018-04-17","8.032",TRUE,TRUE,"oa journal (via doaj)","publisher",1.75,6,0,0,"17"
"0168-9452","10.1016/j.plantsci.2017.11.006","10.1016/j.plantsci.2017.11.011","Arabidopsis NAP-related proteins (NRPs) contribute to the coordination of plant growth, developmental rate, and age-related pathogen resistance under short days","Elsevier BV","plant science","267",NA,"journal-article","2017-11-22","3.712",FALSE,FALSE,NA,NA,1.25,3,0,0,"10"
"1553-7358","10.1371/journal.pcbi.1005993","10.1371/journal.pcbi.1006111","Automated plant species identification—Trends and future directions","Public Library of Science (PLoS)","plos computational biology","14","4","journal-article","2018-04-06","3.955",TRUE,TRUE,"open (via page says license)","publisher",13.3,18,2,0,"41"
"1088-9051","10.1101/gr.227975.117","10.1101/gr.229062.117","Optical mapping reveals a higher level of genomic architecture of chained fusions in cancer","Cold Spring Harbor Laboratory","genome research","28","5","journal-article","2018-04-04","10.101",TRUE,FALSE,"oa repository (via OAI-PMH title and first author match)","repository",16.05,27,2,0,"31"
"1553-7404","10.1371/journal.pgen.1007370","10.1371/journal.pgen.1007339","RIT1 controls actin dynamics via complex formation with RAC1/CDC42 and PAK1","Public Library of Science (PLoS)","plos genetics","14","5","journal-article","2018-05-07","5.54",TRUE,TRUE,"open (via page says license)","publisher",0.5,1,0,0,"4"
"1388-2457","10.1016/j.clinph.2018.02.047","10.1016/j.clinph.2018.03.018","S10-3. Involvement of EEG technologists in intracranial electroencephalography","Elsevier BV","clinical neurophysiology","129","5","journal-article","2018-03-29","3.614",FALSE,FALSE,NA,NA,0,0,0,0,"0"
"2045-2322","10.1038/s41598-018-25702-3","10.1038/s41598-018-24566-x","Long non-coding RNA expression patterns in lung tissues of chronic cigarette smoke induced COPD mouse model","Springer Nature","scientific reports","8","1","journal-article","2018-05-09","4.122",TRUE,TRUE,"oa journal (via doaj)","publisher",1,3,0,0,"13"
"2041-1723","10.1038/s41467-018-04291-9","10.1038/s41467-018-03970-x","Ultrafast probes of electron–hole transitions between two atomic layers","Springer Nature","nature communications","9","1","journal-article","2018-05-04","12.353",TRUE,TRUE,"open (via page says license)","publisher",2.1,5,0,0,"31"
"1367-4803","10.1093/bioinformatics/bty192","10.1093/bioinformatics/bty332","Efficient population-scale variant analysis and prioritization with VAPr","Oxford University Press (OUP)","bioinformatics","34","16","journal-article","2018-04-05","5.481",FALSE,FALSE,NA,NA,5.6,9,0,0,"5"
"2045-2322","10.1038/s41598-018-25165-6","10.1038/s41598-018-25599-y","Retinal microcirculation and leukocyte telomere length in the general population","Springer Nature","scientific reports","8","1","journal-article","2018-04-30","4.122",TRUE,TRUE,"open (via page says license)","publisher",0,0,0,0,"0"
"1548-7091","10.1038/nmeth.4680","10.1038/s41592-018-0006-2","Imaging: Correlation analysis in single-molecule localization microscopy","Springer Nature","nature methods","15","5","journal-article","2018-04-27","26.919",FALSE,FALSE,NA,NA,6.95,14,0,0,"4"
"0027-8424","10.1073/pnas.1711314115","10.1073/pnas.1714718115","Correlation analysis framework for localization-based superresolution microscopy","Proceedings of the National Academy of Sciences","proceedings of the national academy of sciences","115","13","journal-article","2018-03-12","9.504",FALSE,FALSE,NA,NA,10.1,22,0,0,"22"
"1756-8935","10.1186/s13072-018-0185-1","10.1186/s13072-018-0186-0","Histone H3K9 and H4 Acetylations and Transcription Facilitate the Initial CENP-AHCP-3 Deposition and De Novo Centromere Establishment in Caenorhabditis elegans Artificial Chromosomes","Springer Nature","epigenetics & chromatin","11","1","journal-article","2018-04-13","5.351",TRUE,TRUE,"open (via page says license)","publisher",3,8,0,0,"7"
"2045-2322","10.1038/s41598-018-24377-0","10.1038/s41598-018-25881-z","Comparison of strain and shear wave elastography for qualitative and quantitative assessment of breast masses in the same population","Springer Nature","scientific reports","8","1","journal-article","2018-04-12","4.122",TRUE,TRUE,"oa journal (via doaj)","publisher",0,0,0,0,"0"
"0284-1851","10.1177/0284185118756458","10.1177/0284185118756949","Breast tomosynthesis for the clarification of mammographic BI-RADS 3 lesions can decrease follow-up examinations and enables immediate cancer diagnosis","SAGE Publications","acta radiologica","59","10","journal-article","2018-02-16","1.823",FALSE,FALSE,NA,NA,0,0,0,0,"0"
"0028-3932","10.1016/j.neuropsychologia.2018.03.037","10.1016/j.neuropsychologia.2018.03.033","“Neural overlap of L1 and L2 semantic representations across visual and auditory modalities: a decoding approach”","Elsevier BV","neuropsychologia","113",NA,"journal-article","2018-03-29","2.889",TRUE,FALSE,"oa repository (via OAI-PMH doi match)","repository",0.25,1,0,0,"17"
"2041-1723","10.1038/s41467-018-04265-x","10.1038/s41467-018-03906-5","Asynchronous evolution of interdependent nest characters across the avian phylogeny","Springer Nature","nature communications","9","1","journal-article","2018-05-08","12.353",TRUE,TRUE,"oa journal (via doaj)","publisher",16.7,13,1,0,"22"
"0027-8424","10.1073/pnas.1718709115","10.1073/pnas.1713960115","Structure of the C1r–C1s interaction of the C1 complex of complement activation","Proceedings of the National Academy of Sciences","proceedings of the national academy of sciences","115","4","journal-article","2018-01-08","9.504",TRUE,FALSE,"open (via page says license)","publisher",5.85,9,1,0,"31"
"2405-4712","10.1016/j.cels.2018.02.008","10.1016/j.cels.2018.03.013","Combining a Toggle Switch and a Repressilator within the AC-DC Circuit Generates Distinct Dynamical Behaviors","Elsevier BV","cell systems","6","4","journal-article","2018-03-21","8.982",TRUE,FALSE,"open (via crossref license)","publisher",11.5,19,0,0,"59"
"0027-8424","10.1073/pnas.1800359115","10.1073/pnas.1714938115","Our humanity contains multitudes: Dehumanization is more than overlooking mental capacities","Proceedings of the National Academy of Sciences","proceedings of the national academy of sciences","115","15","journal-article","2018-03-23","9.504",FALSE,FALSE,NA,NA,2.1,5,0,0,"13"
"2045-2322","10.1038/s41598-018-25592-5","10.1038/s41598-018-24290-6","Directional subradiance from helical-phase-imprinted multiphoton states","Springer Nature","scientific reports","8","1","journal-article","2018-05-01","4.122",TRUE,TRUE,"oa journal (via doaj)","publisher",1.1,2,0,0,"12"
"0964-6906","10.1093/hmg/ddy118","10.1093/hmg/ddy147","Metabolomic studies identify changes in transmethylation and polyamine metabolism in a brain-specific mouse model of tuberous sclerosis complex","Oxford University Press (OUP)","human molecular genetics","27","12","journal-article","2018-04-06","4.902",TRUE,FALSE,"open (via free pdf)","publisher",1.85,3,0,0,"9"
"2041-1723","10.1038/s41467-018-04473-5","10.1038/s41467-018-04398-z","Absence of dynamic strain aging in an additively manufactured nickel-base superalloy","Springer Nature","nature communications","9","1","journal-article","2018-05-21","12.353",TRUE,TRUE,"open (via page says license)","publisher",0.25,1,0,0,"24"
"2047-217X","10.1093/gigascience/giy031","10.1093/gigascience/giy037","Draft genome of the Peruvian scallop Argopecten purpuratus","Oxford University Press (OUP)","gigascience","7","4","journal-article","2018-04-02","7.267",TRUE,TRUE,"open (via page says Open Access)","publisher",5.25,9,0,0,"6"
"0092-8674","10.1016/j.cell.2018.05.003","10.1016/j.cell.2018.04.040","Disease-Associated Microglia: A Universal Immune Sensor of Neurodegeneration","Elsevier BV","cell","173","5","journal-article","2018-05-17","31.398",FALSE,FALSE,NA,NA,72.95,135,2,0,"255"
"2041-1723","10.1038/s41467-018-03631-z","10.1038/s41467-018-03909-2","Poly-ligand profiling differentiates trastuzumab-treated breast cancer patients according to their outcomes","Springer Nature","nature communications","9","1","journal-article","2018-04-04","12.353",TRUE,TRUE,"open (via page says license)","publisher",35.85,8,0,0,"11"
"2150-7511","10.1128/mbio.01366-16","10.1128/mbio.01806-17","Large Blooms of Bacillales (Firmicutes) Underlie the Response to Wetting of Cyanobacterial Biocrusts at Various Stages of Maturity","American Society for Microbiology","mbio","9","2","journal-article","2018-03-05","6.689",TRUE,TRUE,"open (via page says license)","publisher",13.53,14,0,1,"12"
"2041-1723","10.1038/s41467-018-04017-x","10.1038/s41467-018-03994-3","Correlation of the Dzyaloshinskii–Moriya interaction with Heisenberg exchange and orbital asphericity","Springer Nature","nature communications","9","1","journal-article","2018-04-19","12.353",TRUE,TRUE,"oa journal (via doaj)","publisher",0,0,0,0,"0"
"0303-6812","10.1007/s00285-018-1234-x","10.1007/s00285-018-1237-7","Asymptotic analysis of a TMDD model: when a reaction contributes to the destruction of its product","Springer Nature America, Inc","journal of mathematical biology","77","3","journal-article","2018-04-19","1.786",FALSE,FALSE,NA,NA,0,0,0,0,"0"
"0022-3751","10.1113/jp275303","10.1113/jp275194","HCN4 pacemaker channels attenuate the parasympathetic response and stabilize the spontaneous firing of the sinoatrial node","Wiley","the journal of physiology","596","5","journal-article","2018-01-10","4.54",TRUE,FALSE,"oa repository (via OAI-PMH title and first author match)","repository",1.5,3,2,0,"17"
"0022-3077","10.1152/jn.00659.2017","10.1152/jn.00643.2017","Action potential propagation recorded from single axonal arbors using multielectrode arrays","American Physiological Society","journal of neurophysiology","120","1","journal-article","2018-04-11","2.502",FALSE,FALSE,NA,NA,0.75,2,1,0,"11"
"1471-2105","10.1186/s12859-018-2054-0","10.1186/s12859-018-2115-4","A method combining a random forest-based technique with the modeling of linkage disequilibrium through latent variables, to run multilocus genome-wide association studies","Springer Nature","bmc bioinformatics","19","1","journal-article","2018-04-04","2.213",TRUE,TRUE,"open (via page says license)","publisher",0.5,2,0,0,"9"
"0002-9122","10.1002/ajb2.1048","10.1002/ajb2.1056","Plastid phylogenomic analysis of green plants: A billion years of evolutionary history","Wiley","american journal of botany","105","3","journal-article","2018-03-31","2.788",FALSE,FALSE,NA,NA,74.7,122,0,0,"67"
"1935-861X","10.1016/j.brs.2018.03.014","10.1016/j.brs.2018.04.006","Multi-locus transcranial magnetic stimulation—theory and implementation","Elsevier BV","brain stimulation","11","4","journal-article","2018-03-23","6.12",TRUE,FALSE,"open (via crossref license)","publisher",0.25,1,0,0,"19"
"1367-4803","10.1093/bioinformatics/bty286","10.1093/bioinformatics/bty203","Haplotype phasing in single-cell DNA-sequencing data","Oxford University Press (OUP)","bioinformatics","34","13","journal-article","2018-04-24","5.481",TRUE,FALSE,"open (via page says Open Access)","publisher",6.6,14,0,0,"15"
"0140-7791","10.1111/pce.13213","10.1111/pce.13205","Morpho-anatomical and physiological differences between sun and shade leaves in Abies alba
 Mill
. (Pinaceae, Coniferales): a combined approach","Wiley","plant, cell & environment","41","7","journal-article","2018-04-17","5.415",FALSE,FALSE,NA,NA,0,0,0,0,"0"
"1534-5807","10.1016/j.devcel.2018.04.001","10.1016/j.devcel.2018.02.015","Phosphorylation-Mediated Clearance of Amyloid-like Assemblies in Meiosis","Elsevier BV","developmental cell","45","3","journal-article","2018-05-07","9.616",FALSE,FALSE,NA,NA,19.6,35,0,0,"31"
"2158-3188","10.1038/s41398-018-0144-4","10.1038/s41398-017-0049-7","Polygenic pleiotropy and potential causal relationships between educational attainment, neurobiological profile, and positive psychotic symptoms","Springer Nature","translational psychiatry","8","1","journal-article","2018-05-10","4.691",TRUE,TRUE,"open (via page says license)","publisher",1.25,4,0,0,"10"
"1548-7091","10.1038/s41592-018-0027-x","10.1038/s41592-018-0004-4","Tissue-specific oncogene screens","Springer Nature","nature methods","15","6","journal-article","2018-05-24","26.919",FALSE,FALSE,NA,NA,0.25,1,0,0,"0"
"1932-6203","10.1371/journal.pone.0196658","10.1371/journal.pone.0193267","Social object play between captive bottlenose and Risso's dolphins","Public Library of Science (PLoS)","plos one","13","5","journal-article","2018-05-23","2.766",TRUE,TRUE,"open (via page says license)","publisher",61.35,5,0,0,"3"
"0960-9822","10.1016/j.cub.2018.03.018","10.1016/j.cub.2018.03.012","Population consequences of migratory variability differ between flyways","Elsevier BV","current biology","28","8","journal-article","2018-04-23","9.251",FALSE,FALSE,NA,NA,1.5,5,0,0,"13"
"1525-1578","10.1016/j.jmoldx.2018.03.005","10.1016/j.jmoldx.2018.02.006","Molecular Minimal Residual Disease Monitoring in Acute Myeloid Leukemia","Elsevier BV","the journal of molecular diagnostics","20","4","journal-article","2018-04-22","4.88",FALSE,FALSE,NA,NA,1.85,2,0,0,"3"
"1088-9051","10.1101/gr.232645.117","10.1101/gr.231100.117","Human long intrinsically disordered protein regions are frequent targets of positive selection","Cold Spring Harbor Laboratory","genome research","28","7","journal-article","2018-06-01","10.101",TRUE,FALSE,"open (via page says license)","publisher",12.3,20,2,0,"24"
"1752-0509","10.1186/s12918-018-0583-9","10.1186/s12918-018-0588-4","Identification of reaction organization patterns that naturally cluster enzymatic transformations","Springer Nature","bmc systems biology","12","1","journal-article","2018-05-30","2.05",TRUE,TRUE,"open (via page says license)","publisher",0.75,2,0,0,"11"
"2041-1723","10.1038/s41467-018-05070-2","10.1038/s41467-018-05083-x","Role of disordered bipolar complexions on the sulfur embrittlement of nickel general grain boundaries","Springer Nature","nature communications","9","1","journal-article","2018-07-11","12.353",TRUE,TRUE,"open (via page says license)","publisher",67.718,2,0,2,"15"
"1474-760X",NA,"10.1186/s13059-018-1449-6",NA,NA,NA,NA,NA,NA,NA,"13.214",NA,NA,NA,NA,12.35,17,1,0,"0"
"2045-2322","10.1038/s41598-018-27454-6","10.1038/s41598-018-27919-8","Imaging EGFR and HER3 through 89Zr-labeled MEHD7945A (Duligotuzumab)","Springer Nature","scientific reports","8","1","journal-article","2018-06-07","4.122",TRUE,TRUE,"open (via page says license)","publisher",1.5,2,0,0,"3"
"1932-6203","10.1371/journal.pone.0200165","10.1371/journal.pone.0199450","Can we monitor adaptation of juvenile goats to a new social environment through continuous qualitative behaviour assessment?","Public Library of Science (PLoS)","plos one","13","7","journal-article","2018-07-06","2.766",TRUE,TRUE,"open (via page says license)","publisher",0.25,1,0,0,"2"
"2041-1723","10.1038/s41467-018-04591-0","10.1038/s41467-018-04841-1","PreDicta chip-based high resolution diagnosis of rhinovirus-induced wheeze","Springer Nature","nature communications","9","1","journal-article","2018-06-12","12.353",TRUE,TRUE,"open (via page says license)","publisher",35.05,9,0,0,"8"
"0005-7916","10.1016/j.jbtep.2018.05.005","10.1016/j.jbtep.2018.05.006","Effects of induced rumination on body dissatisfaction: Is there any difference between men and women?","Elsevier BV","journal of behavior therapy and experimental psychiatry","61",NA,"journal-article","2018-05-19","2.397",FALSE,FALSE,NA,NA,3.2,5,1,0,"14"
