"SOURCETITLE","YEAR","IF"
"european physical journal plus",2016,1.75
"basic and applied ecology",2012,1.75
"biostatistics",2016,1.75
"journal of basic microbiology",2013,1.75
"plant cell and environment",2018,1.74
"medicina oral, patologia oral y cirugia bucal",2014,1.74
"auk",2014,1.74
"annals of human genetics",2016,1.74
"insect science",2017,1.74
"insect science",2016,1.74
"plos currents",2013,1.74
"journal of molecular liquids",2018,1.74
"memorias do instituto oswaldo cruz",2013,1.74
"ebiomedicine",2018,1.74
"bioinformatics and biology insights",2016,1.74
"current opinion in neurobiology",2018,1.73
"journal of stroke and cerebrovascular diseases",2016,1.73
"pathogens and global health",2017,1.73
"journal of applied entomology",2013,1.73
"siam journal on applied dynamical systems",2014,1.73
"journal of mathematical biology",2017,1.73
"drug and chemical toxicology",2015,1.73
"population ecology",2015,1.72
"statistical methods in medical research",2017,1.72
"siam journal on applied dynamical systems",2013,1.72
"journal of insect conservation",2015,1.72
"molecular autism",2018,1.72
"journal of economic behavior and organization",2014,1.72
"biosystems",2017,1.72
"mechanisms of development",2016,1.72
"conservation genetics",2012,1.72
"journal of basic microbiology",2017,1.72
"journal of mathematical biology",2014,1.72
"biological bulletin",2014,1.71
"medical oncology",2012,1.71
"environmetrics",2014,1.71
"human heredity",2015,1.71
"biological bulletin",2017,1.71
"journal of morphology",2013,1.71
"molecular oncology",2018,1.71
"journal of applied entomology",2012,1.71
"ecological research",2013,1.71
"journal of economic entomology",2017,1.71
"clinical and translational immunology",2018,1.71
"pedobiologia",2015,1.71
"animal genetics",2017,1.7
"journal of economic entomology",2015,1.7
"international journal of mass spectrometry",2016,1.7
"journal of physics a: mathematical and theoretical",2013,1.7
"physiological entomology",2013,1.7
"journal of biosciences",2015,1.7
"journal of computational neuroscience",2017,1.7
"f1000research",2017,1.7
"cold spring harbor perspectives in medicine",2018,1.7
"attention, perception, and psychophysics",2017,1.7
"journal of complex networks",2017,1.7
"brain, behavior and evolution",2015,1.7
"cellular and molecular gastroenterology and hepatology",2018,1.7
"population ecology",2014,1.69
"biological bulletin",2013,1.69
"microbiological research",2012,1.69
"journal of virological methods",2015,1.69
"brain, behavior and evolution",2017,1.69
"journal of molecular evolution",2014,1.69
"statistics in medicine",2015,1.69
"molecular informatics",2012,1.69
"frontiers in neuroinformatics",2012,1.69
"ecography",2018,1.68
"molecular ecology resources",2018,1.68
"journal of morphology",2017,1.68
"acta paediatrica, international journal of paediatrics",2017,1.68
"journal of neuroscience",2018,1.68
"review of palaeobotany and palynology",2017,1.68
"journal of stroke and cerebrovascular diseases",2012,1.68
"journal of stroke and cerebrovascular diseases",2017,1.68
"molecular syndromology",2017,1.68
"european journal of medicinal chemistry",2018,1.67
"anatomical record",2015,1.67
"journal of personalized medicine",2015,1.67
"memory",2017,1.67
"human biology",2012,1.67
"international journal of developmental biology",2017,1.67
"journal of land use science",2017,1.67
"febs open bio",2014,1.67
"memorias do instituto oswaldo cruz",2014,1.67
"journal of chemical neuroanatomy",2014,1.67
"biopreservation and biobanking",2014,1.67
"physiological reports",2015,1.67
"natural resource modeling",2014,1.67
"annals of applied statistics",2017,1.66
"journal of morphology",2015,1.66
"hypertension",2018,1.66
"algae",2017,1.66
"molecular biology and evolution",2018,1.66
"marine and freshwater research",2014,1.66
"plant signaling and behavior",2013,1.66
"evolutionary bioinformatics",2017,1.65
"zebrafish",2012,1.65
"ecological complexity",2017,1.65
"ecological complexity",2012,1.65
"journal of morphology",2012,1.65
"journal of chemical theory and computation",2018,1.65
"bmc biology",2018,1.65
"biopreservation and biobanking",2013,1.65
"drug and chemical toxicology",2016,1.65
"medicina oral, patologia oral y cirugia bucal",2013,1.65
"addiction",2018,1.65
"annals of human genetics",2017,1.65
"review of scientific instruments",2012,1.65
"fly",2013,1.64
"journal of basic microbiology",2014,1.64
"meta gene",2016,1.64
"neurobiology of disease",2018,1.64
"european journal of wildlife research",2015,1.64
"dynamic games and applications",2012,1.64
"anatomical record",2016,1.64
"clinical microbiology and infection",2018,1.64
"journal of physics a: mathematical and theoretical",2014,1.64
"bmc ecology",2012,1.63
"i-perception",2012,1.63
"philosophical transactions of the royal society b: biological sciences",2018,1.63
"computational biology and chemistry",2017,1.63
"physical biology",2017,1.63
"physica d: nonlinear phenomena",2016,1.63
"comparative biochemistry and physiology -part a : molecular and integrative physiology",2015,1.63
"aerobiologia",2014,1.63
"free radical biology and medicine",2018,1.62
"theoretical ecology",2017,1.62
"journal of community genetics",2012,1.62
"biodata mining",2016,1.62
"memory",2014,1.61
"analytical sciences",2012,1.61
"journal of microscopy",2016,1.61
"physical biology",2016,1.61
"aerobiologia",2013,1.61
"current plant biology",2017,1.61
"oncogenesis",2018,1.61
"environmetrics",2016,1.61
"biopreservation and biobanking",2012,1.61
"language, cognition and neuroscience",2017,1.61
"twin research and human genetics",2017,1.61
"bionanoscience",2013,1.6
"journal of community health",2015,1.6
"breast cancer research",2018,1.6
"geomicrobiology journal",2014,1.6
"journal of insect conservation",2017,1.6
"siam journal on applied dynamical systems",2017,1.6
"journal of statistical physics",2015,1.6
"human heredity",2012,1.6
"bionanoscience",2015,1.6
"current plant biology",2015,1.6
"zebrafish",2017,1.6
"cerebral cortex",2018,1.6
"journal of applied entomology",2016,1.59
"journal of animal science",2016,1.59
"theoretical population biology",2016,1.59
"journal of computational neuroscience",2016,1.59
"journal of neuroinflammation",2018,1.59
"bulletin of mathematical biology",2012,1.59
"mathematical biosciences",2012,1.59
"journal of insect conservation",2016,1.59
"brain, behavior and evolution",2014,1.59
"i-perception",2015,1.59
"journal of applied entomology",2017,1.59
"journal of morphology",2016,1.59
"entropy",2012,1.59
"bmc research notes",2014,1.59
"journal of applied entomology",2015,1.58
"npj biofilms and microbiomes",2018,1.58
"cancer informatics",2013,1.58
"journal of economic behavior and organization",2016,1.58
"british journal of cancer",2018,1.58
"plant journal",2018,1.58
"biochimica et biophysica acta - bioenergetics",2018,1.58
"physiological entomology",2014,1.58
"statistical science",2013,1.58
"computational biology and chemistry",2013,1.58
"theoretical population biology",2013,1.58
"ecological indicators",2018,1.58
"medicina oral, patologia oral y cirugia bucal",2015,1.57
"mathematical biosciences",2014,1.57
"development genes and evolution",2012,1.57
"bulletin of mathematical biology",2013,1.57
"marine and freshwater research",2016,1.57
"environmental modelling and software",2018,1.57
"dynamic games and applications",2016,1.57
"journal of personalized medicine",2013,1.57
"development (cambridge)",2018,1.57
"functional ecology",2018,1.57
"insect science",2012,1.57
"european journal of wildlife research",2017,1.57
"plos currents",2012,1.57
"environmental science and policy",2018,1.57
"current opinion in virology",2018,1.56
"biological bulletin",2015,1.56
"population ecology",2017,1.56
"international journal of ecology",2014,1.56
"journal of community health",2017,1.56
"evolutionary bioinformatics",2015,1.56
"journal of molecular modeling",2012,1.56
"genomics, proteomics and bioinformatics",2018,1.56
"evolutionary applications",2018,1.55
"evolutionary bioinformatics",2016,1.55
"journal of basic microbiology",2016,1.55
"numerical algorithms",2014,1.55
"pedobiologia",2012,1.55
"food microbiology",2018,1.55
"dynamic games and applications",2013,1.55
"american journal of obstetrics and gynecology",2018,1.55
"bmc research notes",2013,1.54
"mitochondrial dna",2013,1.54
"micromachines",2015,1.54
"review of scientific instruments",2016,1.54
"genomics, proteomics and bioinformatics",2013,1.54
"molecular ecology",2018,1.54
"journal of land use science",2015,1.54
"journal of biological dynamics",2016,1.54
"mathematical biosciences",2017,1.54
"drug and chemical toxicology",2012,1.54
"analytical sciences",2013,1.54
"antibiotics",2015,1.54
"european journal of forest research",2012,1.54
"agricultural and forest meteorology",2018,1.53
"ecological research",2017,1.53
"journal of mathematical biology",2015,1.53
"language, cognition and neuroscience",2016,1.53
"development genes and evolution",2016,1.53
"algae",2016,1.53
"aerobiologia",2017,1.53
"journal of coastal research",2013,1.53
"siam review",2018,1.53
"ecological research",2014,1.52
"plant signaling and behavior",2014,1.52
"geomicrobiology journal",2015,1.52
"acs synthetic biology",2018,1.52
"seminars in cell and developmental biology",2018,1.52
"bulletin of mathematical biology",2014,1.52
"animal genetics",2012,1.52
"bulletin of mathematical biology",2017,1.52
"statistical applications in genetics and molecular biology",2015,1.52
"microbiology (united kingdom)",2017,1.52
"journal of fish biology",2012,1.52
"journal of comparative psychology",2012,1.52
"human reproduction",2018,1.52
"translational psychiatry",2018,1.52
"stem cell reports",2018,1.52
"brain stimulation",2018,1.52
"journal of molecular liquids",2012,1.51
"marine and freshwater research",2015,1.51
"microscopy research and technique",2012,1.51
"plos genetics",2018,1.51
"industrial crops and products",2018,1.51
"language, cognition and neuroscience",2015,1.51
"tropical conservation science",2015,1.51
"tropical conservation science",2013,1.51
"journal of healthcare engineering",2015,1.51
"mathematical biosciences",2015,1.51
"emerging infectious diseases",2018,1.5
"clinical chemistry",2018,1.5
"journal of coastal research",2014,1.5
"journal of economic behavior and organization",2013,1.5
"journal of cerebral blood flow and metabolism",2018,1.5
"acta biotheoretica",2013,1.5
"forensic science international: genetics",2018,1.5
"journal of experimental botany",2018,1.5
"antimicrobial resistance and infection control",2013,1.5
"fly",2017,1.5
"medicina oral, patologia oral y cirugia bucal",2016,1.5
"journal of basic microbiology",2015,1.5
"journal of biosciences",2012,1.5
"origins of life and evolution of biospheres",2017,1.5
"physiological entomology",2015,1.49
"clinical epigenetics",2018,1.49
"msystems",2018,1.49
"ieee transactions on nanobioscience",2012,1.49
"journal of economic entomology",2012,1.49
"emerging microbes and infections",2018,1.49
"environmental microbiology",2018,1.49
"psychological medicine",2018,1.49
"journal of biosciences",2017,1.49
"journal of visualized experiments",2014,1.49
"molecular and cellular proteomics",2018,1.48
"pedobiologia",2014,1.48
"journal of statistical physics",2012,1.48
"computational biology and chemistry",2016,1.48
"european journal of wildlife research",2013,1.48
"journal of community health",2016,1.48
"biosystems",2012,1.48
"computational and structural biotechnology journal",2014,1.47
"journal of molecular biology",2018,1.47
"journal of molecular and cellular cardiology",2018,1.47
"asian journal of psychiatry",2014,1.47
"analytical sciences",2014,1.47
"journal of computational biology",2012,1.46
"human genetics",2018,1.46
"meta gene",2017,1.46
"microbial genomics",2018,1.46
"depression and anxiety",2018,1.46
"european journal of wildlife research",2016,1.46
"journal of fish biology",2016,1.45
"applications in plant sciences",2016,1.45
"biology",2018,1.45
"aquatic toxicology",2018,1.45
"plant signaling and behavior",2016,1.44
"numerical algorithms",2017,1.44
"drug and chemical toxicology",2014,1.44
"pathogens",2014,1.44
"bionanoscience",2012,1.44
"statistical applications in genetics and molecular biology",2012,1.44
"theoretical population biology",2015,1.44
"journal of mathematical biology",2016,1.44
"human brain mapping",2018,1.44
"current opinion in genetics and development",2018,1.44
"insect science",2013,1.43
"molecular cancer research",2018,1.43
"cbe life sciences education",2012,1.43
"metabolites",2013,1.43
"analyst",2018,1.42
"conservation genetics",2016,1.42
"science signaling",2018,1.42
"geomicrobiology journal",2012,1.42
"plant signaling and behavior",2015,1.42
"antibiotics",2014,1.42
"gastric cancer",2018,1.42
"journal of mathematical psychology",2015,1.42
"neuroimage: clinical",2013,1.42
"phytotaxa",2013,1.42
"biochimica et biophysica acta - gene regulatory mechanisms",2018,1.42
"journal of endocrinology",2018,1.41
"anatomical record",2012,1.41
"european journal of wildlife research",2012,1.41
"marine and freshwater research",2017,1.41
"asian journal of psychiatry",2015,1.41
"journal of personalized medicine",2014,1.41
"i-perception",2013,1.4
"data science journal",2017,1.4
"international journal of epidemiology",2018,1.4
"anatomical record",2017,1.4
"microscopy research and technique",2013,1.4
"quaternary science reviews",2018,1.4
"medical hypotheses",2013,1.4
"biotechnology and bioengineering",2018,1.4
"bmc research notes",2015,1.4
"journal of neurochemistry",2018,1.39
"ecological research",2015,1.39
"journal of statistical physics",2017,1.39
"journal of biosciences",2016,1.39
"medicina oral, patologia oral y cirugia bucal",2012,1.38
"bmc research notes",2017,1.38
"aging",2018,1.38
"scientific data",2018,1.38
"plant signaling and behavior",2017,1.38
"geomicrobiology journal",2016,1.38
"physiological entomology",2016,1.38
"applications in plant sciences",2014,1.38
"journal of visualized experiments",2013,1.38
"journal of land use science",2016,1.38
"european journal of entomology",2016,1.38
"asian journal of psychiatry",2016,1.38
"symmetry",2016,1.38
"numerical algorithms",2012,1.37
"ecological applications",2018,1.37
"febs journal",2018,1.37
"science bulletin",2018,1.37
"human heredity",2016,1.37
"bulletin of mathematical biology",2016,1.37
"memorias do instituto oswaldo cruz",2012,1.37
"review of scientific instruments",2015,1.36
"international journal of primatology",2016,1.36
"f1000research",2016,1.36
"microscopy research and technique",2014,1.36
"clinical epigenetics",2012,1.36
"journal of statistical physics",2013,1.36
"alzheimer's and dementia: diagnosis, assessment and disease monitoring",2018,1.36
"mathematical biosciences",2016,1.36
"journal of fish biology",2015,1.36
"drug and chemical toxicology",2017,1.36
"ecological research",2016,1.36
"environmetrics",2017,1.36
"siam journal on applied dynamical systems",2012,1.35
"ecological research",2012,1.35
"molecular plant pathology",2018,1.35
"journal of animal science",2017,1.35
"journal of community genetics",2016,1.35
"medical hypotheses",2015,1.35
"dynamic games and applications",2015,1.35
"aerobiologia",2012,1.35
"journal of statistical physics",2016,1.35
"bmc research notes",2016,1.35
"journal of clinical microbiology",2018,1.35
"field crops research",2018,1.35
"review of scientific instruments",2017,1.35
"psychological science",2018,1.35
"computational biology and chemistry",2012,1.35
"frontiers in bioengineering and biotechnology",2018,1.35
"psychoneuroendocrinology",2018,1.34
"psychological review",2018,1.34
"journal of biomechanical engineering",2012,1.34
"ecosystems",2018,1.34
"symmetry",2017,1.33
"bulletin of mathematical biology",2015,1.33
"twin research and human genetics",2016,1.33
"journal of mathematical psychology",2016,1.33
"computational biology and chemistry",2015,1.33
"journal of community health",2012,1.33
"progress in neuro-psychopharmacology and biological psychiatry",2018,1.33
"avian diseases",2013,1.33
"cancer informatics",2016,1.33
"human molecular genetics",2018,1.32
"journal of molecular modeling",2015,1.32
"journal of visualized experiments",2016,1.32
"origins of life and evolution of biospheres",2015,1.32
"journal of bioenergetics and biomembranes",2012,1.32
"journal of mountain science",2016,1.32
"environmental health: a global access science source",2018,1.32
"natural resource modeling",2013,1.32
"medical hypotheses",2014,1.32
"geobiology",2018,1.32
"numerical algorithms",2015,1.32
"journal of antimicrobial chemotherapy",2018,1.31
"tropical conservation science",2016,1.31
"mycoscience",2014,1.31
"human biology",2013,1.31
"journal of psychopharmacology",2018,1.31
"journal of molecular modeling",2017,1.31
"stat",2014,1.31
"european physical journal plus",2015,1.31
"mathematical biosciences and engineering",2015,1.31
"theoretical ecology",2016,1.31
"current problems in cancer",2016,1.3
"annals of clinical and translational neurology",2018,1.3
"antimicrobial agents and chemotherapy",2018,1.3
"molecular phylogenetics and evolution",2018,1.3
"biostatistics",2017,1.3
"mathematical biosciences and engineering",2017,1.3
"i-perception",2014,1.3
"environmetrics",2012,1.3
"briefings in bioinformatics",2018,1.3
"journal of computational biology",2017,1.29
"theoretical population biology",2017,1.29
"oncogenesis",2013,1.29
"cellular microbiology",2018,1.29
"astrophysical journal",2018,1.29
"structure",2018,1.29
"british journal of haematology",2018,1.29
"journal of coastal research",2015,1.28
"ecology",2018,1.28
"geomicrobiology journal",2017,1.28
"microscopy research and technique",2015,1.28
"phytotaxa",2014,1.28
"analytical sciences",2017,1.28
"journal of pediatric hematology/oncology",2015,1.28
"biochimica et biophysica acta - molecular basis of disease",2018,1.28
"journal of lipid research",2018,1.28
"environmental and experimental botany",2018,1.28
"cell communication and signaling",2018,1.28
"neurobiology of aging",2018,1.28
"epigenetics",2018,1.28
"avian diseases",2017,1.28
"journal of statistical physics",2014,1.28
"tropical conservation science",2017,1.28
"journal of land use science",2013,1.28
"journal of economic behavior and organization",2017,1.27
"heliyon",2017,1.27
"journal of pain",2018,1.27
"journal of food safety",2017,1.27
"ecology and evolution",2012,1.27
"neurochemistry international",2018,1.27
"frontiers in immunology",2012,1.27
"medical hypotheses",2012,1.27
"molecular neurobiology",2018,1.27
"cellular physiology and biochemistry",2018,1.27
"journal of mathematical chemistry",2014,1.27
"asian journal of psychiatry",2017,1.27
"journal of animal ecology",2018,1.26
"journal of virology",2018,1.26
"european physical journal plus",2013,1.26
"mitochondrial dna",2012,1.26
"journal of healthcare engineering",2014,1.26
"analytical sciences",2016,1.26
"memory",2012,1.26
"journal of wildlife management",2012,1.25
"epigenetics and chromatin",2018,1.25
"mycoscience",2015,1.25
"eurasip journal on bioinformatics and systems biology",2014,1.25
"symmetry",2013,1.25
"european physical journal plus",2014,1.25
"journal of cellular physiology",2018,1.25
"journal of thermal biology",2012,1.25
"evolutionary bioinformatics",2014,1.25
"frontiers in neurorobotics",2012,1.25
"bionanoscience",2014,1.24
"journal of healthcare engineering",2017,1.24
"marine pollution bulletin",2018,1.24
"journal of immunology",2018,1.24
"applied microbiology and biotechnology",2018,1.24
"avian diseases",2016,1.24
"avian diseases",2014,1.24
"human mutation",2018,1.24
"journal of biological dynamics",2015,1.24
"stem cell research and therapy",2018,1.24
"numerical algorithms",2013,1.24
"environmetrics",2015,1.24
"npj genomic medicine",2018,1.24
"international journal of primatology",2017,1.24
"protein and cell",2018,1.24
"applications in plant sciences",2017,1.23
"genome announcements",2014,1.23
"journal of mountain science",2017,1.23
"journal of investigative dermatology",2018,1.23
"bmc veterinary research",2012,1.23
"biological conservation",2018,1.23
"journal of computational biology",2016,1.23
"cognitive computation",2012,1.23
"microbiological research",2018,1.23
"journal of mathematical chemistry",2016,1.23
"microscopy research and technique",2016,1.23
"journal of natural products",2018,1.23
"journal of pediatric hematology/oncology",2013,1.22
"critical reviews in plant sciences",2018,1.22
"journal of mathematical chemistry",2013,1.22
"biochemical society transactions",2018,1.22
"faseb journal",2018,1.22
"drug and chemical toxicology",2013,1.22
"mycoscience",2017,1.21
"phytotaxa",2016,1.21
"bioessays",2018,1.21
"schizophrenia research",2018,1.21
"proceedings of the royal society b: biological sciences",2018,1.21
"journal of infectious diseases",2018,1.21
"bmc research notes",2012,1.21
"biochemical journal",2018,1.21
"applied and environmental microbiology",2018,1.21
"avian diseases",2015,1.21
"journal of genetics",2013,1.2
"plant and cell physiology",2018,1.2
"molecular metabolism",2013,1.2
"theoretical and applied genetics",2018,1.2
"journal of visualized experiments",2017,1.2
"journal of structural biology",2018,1.2
"acs chemical biology",2018,1.2
"african journal of ecology",2013,1.2
"frontiers in biology",2014,1.19
"plos neglected tropical diseases",2018,1.19
"international journal of neuropsychopharmacology",2018,1.19
"fems microbiology ecology",2018,1.19
"cortex",2018,1.19
"computational and structural biotechnology journal",2018,1.19
"genomics data",2017,1.19
"european physical journal plus",2012,1.19
"physiological entomology",2012,1.19
"frontiers in molecular biosciences",2015,1.19
"analytical sciences",2015,1.19
"genomics, proteomics and bioinformatics",2012,1.19
"applications in plant sciences",2015,1.19
"frontiers in biology",2015,1.18
"journal of proteome research",2018,1.18
"canadian journal of chemistry",2013,1.18
"plant genome",2018,1.18
"medical hypotheses",2016,1.18
"mycoscience",2013,1.18
"arthritis research and therapy",2018,1.18
"numerical algorithms",2016,1.18
"journal of agricultural, biological, and environmental statistics",2012,1.18
"journal of experimental and theoretical physics",2017,1.18
"journal of cheminformatics",2018,1.18
"applied sciences",2017,1.18
"brain structure and function",2018,1.18
"journal of agricultural and food chemistry",2018,1.18
"journal of biological dynamics",2017,1.17
"european journal of entomology",2013,1.17
"journal of mountain science",2015,1.17
"cancer informatics",2017,1.17
"journal of experimental and theoretical physics",2016,1.17
"journal of chemical information and modeling",2018,1.17
"international journal of modern physics c",2014,1.17
"tropical conservation science",2014,1.17
"frontiers in chemistry",2014,1.17
"cognitive computation",2018,1.17
"journal of biological chemistry",2018,1.16
"american naturalist",2018,1.16
"colloids and surfaces a: physicochemical and engineering aspects",2018,1.16
"indian journal of medical research, supplement",2016,1.16
"journal of land use science",2014,1.16
"international journal of molecular sciences",2018,1.16
"journal of visualized experiments",2015,1.16
"journal of visualized experiments",2012,1.16
"scientific reports",2018,1.16
"biological psychiatry: cognitive neuroscience and neuroimaging",2018,1.16
"genome announcements",2015,1.16
"biochimica et biophysica acta - biomembranes",2018,1.16
"autism research",2018,1.16
"f1000research",2015,1.15
"journal of bioinformatics and computational biology",2017,1.15
"neuroinformatics",2018,1.15
"twin research and human genetics",2012,1.15
"physical chemistry chemical physics",2018,1.15
"hormones and behavior",2018,1.15
"electrophoresis",2018,1.15
"journals of gerontology - series a biological sciences and medical sciences",2018,1.15
"journal of translational medicine",2018,1.15
"statistical applications in genetics and molecular biology",2014,1.15
"origins of life and evolution of biospheres",2016,1.15
"i-perception",2016,1.15
"tropical conservation science",2012,1.15
"insect biochemistry and molecular biology",2018,1.14
"journal of biological dynamics",2014,1.14
"origins of life and evolution of biospheres",2014,1.14
"mathematical modelling of natural phenomena",2017,1.14
"plant signaling and behavior",2012,1.14
"meta gene",2015,1.14
"journal of pediatric hematology/oncology",2014,1.14
"statistical applications in genetics and molecular biology",2013,1.14
"journal of coastal research",2017,1.14
"dynamic games and applications",2014,1.14
"cancer informatics",2012,1.14
"genome announcements",2016,1.14
"medical hypotheses",2017,1.13
"marine genomics",2012,1.13
"computational biology and chemistry",2014,1.13
"journal of food safety",2015,1.13
"bioinformatics and biology insights",2013,1.13
"mobile dna",2018,1.13
"toxicology letters",2018,1.13
"evolutionary bioinformatics",2013,1.13
"european journal of entomology",2017,1.13
"frontiers in plant science",2018,1.13
"journal of pediatric hematology/oncology",2012,1.13
"sleep",2018,1.13
"biochimica et biophysica acta - general subjects",2018,1.13
"obesity",2018,1.13
"frontiers in immunology",2018,1.13
"molecular syndromology",2012,1.12
"hereditas",2014,1.12
"journal of molecular modeling",2016,1.12
"journal of land use science",2012,1.12
"biology",2013,1.12
"microscopy research and technique",2017,1.12
"journal of ethnopharmacology",2018,1.12
"journal of coastal research",2016,1.12
"pharmacogenomics journal",2018,1.12
"ecological processes",2017,1.12
"frontiers in oncology",2018,1.12
"journal of pediatric hematology/oncology",2017,1.11
"phytotaxa",2015,1.11
"kidney international reports",2017,1.11
"database",2018,1.11
"bioinformatics",2018,1.11
"neuroimage: clinical",2018,1.11
"brain connectivity",2018,1.11
"frontiers in microbiology",2018,1.11
"journal of food safety",2014,1.11
"international journal of modern physics c",2013,1.11
"journal of community genetics",2017,1.11
"journal of neural engineering",2018,1.11
"international journal of modern physics c",2015,1.11
"diversity and distributions",2018,1.11
"rna",2018,1.11
"biologically inspired cognitive architectures",2015,1.11
"marine environmental research",2018,1.1
"traffic",2018,1.1
"toxicological sciences",2018,1.1
"journal of physiology",2018,1.1
"analytical and bioanalytical chemistry",2018,1.1
"journal of mathematical psychology",2018,1.1
"rna biology",2018,1.1
"journal of pediatric hematology/oncology",2016,1.1
"european journal of human genetics",2018,1.1
"american journal of physiology - cell physiology",2018,1.1
"bionanoscience",2017,1.1
"microbial ecology",2018,1.1
"journal of pharmacology and experimental therapeutics",2018,1.09
"journal of mountain science",2014,1.09
"journal of cell science",2018,1.09
"cognitive neurodynamics",2018,1.09
"entomologica americana",2017,1.09
"journal of biogeography",2018,1.09
"cell calcium",2018,1.09
"canadian journal of chemistry",2014,1.09
"dmm disease models and mechanisms",2018,1.09
"molecular plant-microbe interactions",2018,1.09
"journal of bioinformatics and computational biology",2014,1.09
"journal of coastal research",2012,1.09
"molecular and cellular endocrinology",2018,1.09
"journal of geophysical research: biogeosciences",2018,1.08
"msphere",2018,1.08
"pflugers archiv european journal of physiology",2018,1.08
"mathematical biosciences and engineering",2016,1.08
"plos computational biology",2018,1.08
"journal of human genetics",2018,1.08
"apl materials",2018,1.08
"statistics in biosciences",2015,1.08
"journal of bioinformatics and computational biology",2013,1.08
"molecular biology of the cell",2018,1.07
"methods and applications in fluorescence",2018,1.07
"international journal of modern physics c",2016,1.07
"ecological processes",2016,1.07
"current opinion in insect science",2018,1.07
"journal of the american medical informatics association",2018,1.07
"evolutionary bioinformatics",2012,1.07
"rsc advances",2018,1.07
"journal of mathematical chemistry",2012,1.07
"cancer informatics",2015,1.07
"toxins",2018,1.07
"acta biotheoretica",2012,1.07
"eurasip journal on bioinformatics and systems biology",2016,1.07
"european journal of entomology",2014,1.07
"mathematical biosciences and engineering",2013,1.06
"journal of bioinformatics and computational biology",2015,1.06
"mitochondrial dna",2015,1.06
"journal of agricultural, biological, and environmental statistics",2017,1.06
"physiological entomology",2017,1.06
"oncotarget",2018,1.06
"acs chemical neuroscience",2018,1.06
"annual review of statistics and its application",2018,1.06
"biological bulletin",2012,1.06
"molecular microbiology",2018,1.06
"alcoholism: clinical and experimental research",2018,1.06
"african journal of ecology",2015,1.06
"mycoscience",2016,1.06
"genes, brain and behavior",2018,1.06
"developmental science",2018,1.06
"molecular human reproduction",2018,1.06
"biochimie",2018,1.06
"physica a: statistical mechanics and its applications",2018,1.06
"viruses",2018,1.05
"symmetry",2012,1.05
"current genetics",2018,1.05
"metabolomics",2018,1.05
"american journal of epidemiology",2018,1.05
"american journal of pathology",2018,1.05
"frontiers in systems neuroscience",2018,1.05
"methods",2018,1.05
"cognitive psychology",2018,1.04
"mitochondrion",2018,1.04
"stem cells international",2018,1.04
"mathematical modelling of natural phenomena",2016,1.04
"international journal of modern physics b",2014,1.04
"medical oncology",2018,1.04
"open forum infectious diseases",2015,1.04
"skeletal muscle",2018,1.04
"mathematical modelling of natural phenomena",2014,1.04
"organic geochemistry",2018,1.04
"journal of basic microbiology",2012,1.04
"journal of food safety",2016,1.04
"journal of physiology paris",2012,1.04
"phytotaxa",2017,1.04
"physiological reports",2014,1.04
"glycobiology",2018,1.04
"transboundary and emerging diseases",2018,1.03
"biology letters",2018,1.03
"chromosoma",2018,1.03
"canadian journal of chemistry",2012,1.03
"frontiers in cellular neuroscience",2018,1.03
"microbiology spectrum",2018,1.03
"oikos",2018,1.03
"molecular and cellular biology",2018,1.03
"environmental science and pollution research",2018,1.03
"social cognitive and affective neuroscience",2018,1.03
"seminars in thrombosis and hemostasis",2018,1.03
"nicotine and tobacco research",2018,1.03
"metabolites",2018,1.02
"symmetry",2014,1.02
"canadian journal of chemistry",2015,1.02
"febs open bio",2013,1.02
"canadian journal of chemistry",2017,1.02
"african journal of ecology",2012,1.02
"mycoscience",2012,1.02
"journal of shellfish research",2013,1.01
"ieee transactions on biomedical engineering",2018,1.01
"plant science",2018,1.01
"ieee transactions on visualization and computer graphics",2018,1.01
"european journal of entomology",2015,1.01
"journal of computational physics",2018,1.01
"mitochondrial dna",2014,1.01
"proteomics",2018,1.01
"frontiers in cellular and infection microbiology",2012,1
"frontiers in cellular and infection microbiology",2013,1
"journal of bioinformatics and computational biology",2012,1
"physical review e",2012,1
"biologically inspired cognitive architectures",2017,1
"processes",2015,1
"journal of shellfish research",2017,1
"frontiers in bioengineering and biotechnology",2014,1
"experimental cell research",2018,1
"photosynthesis research",2018,1
"soft matter",2018,1
"retrovirology",2018,1
"bionanoscience",2016,1
"eneuro",2016,1
"concurrency computation",2018,1
"journal of personalized medicine",2012,1
"neuroscience",2018,1
"frontiers in molecular biosciences",2018,1
"physical review e",2013,1
"journal of biotechnology",2018,1
"statistics in biosciences",2014,1
"international journal of ecology",2012,1
"cancer medicine",2018,1
"journal of food safety",2013,0.99
"journal of agricultural, biological, and environmental statistics",2014,0.99
"biomedical optics express",2018,0.99
"cognition",2018,0.99
"open biology",2018,0.99
"mathematical biosciences and engineering",2014,0.99
"gigascience",2018,0.99
"journal of genetics",2014,0.99
"journal of comparative neurology",2018,0.99
"canadian journal of chemistry",2016,0.99
"ieee transactions on biomedical circuits and systems",2018,0.99
"cancer prevention research",2018,0.99
"oral oncology",2018,0.99
"statistical methods in medical research",2013,0.98
"acta biotheoretica",2017,0.98
"avian diseases",2012,0.98
"breast cancer research and treatment",2018,0.98
"neurobiology of learning and memory",2018,0.98
"frontiers in pharmacology",2018,0.98
"current problems in cancer",2015,0.98
